method	DER	B3Precision	B3Recall	B3F1	TauRefSys	TauSysRef	CE	MI	NMI
diartk	106.66	0.41059431121246	0.907059104750607	0.565297829963665	0.229929800301784	0.0237348300843217	1.68215380297783	0.105380932694496	0.124758221468345
diartk	97.49	0.157177089650284	0.540836884121326	0.243568669441945	0.193555374210648	0.0384244742812377	3.05939283804797	0.393066559771272	0.171636597040272
diartk	99.07	0.277310153882961	0.637429234146526	0.38648297279831	0.0602464932912564	0.0583931326462698	2.43271842261784	0.231566003446109	0.124979392478474
diartk	90.42	0.511826141631961	0.759412892523364	0.611509496235795	0.331252552393204	0.1095135712885	1.50389081339829	0.412877712557007	0.27505087828499
diartk	96.6	0.20940813942442	0.550224453621875	0.303361072585659	0.170059910400529	0.0710652248122535	2.76231209230281	0.390986868787714	0.177217509762897
diartk	98.2	0.268743299004016	0.643242415107788	0.379100431115274	0.281159655276741	0.109364793691317	2.41096564768589	0.410133368585312	0.211843727781778
diartk	134.83	0.410201686409227	0.517966809036724	0.457828206006466	0.137185911552083	0.110283369281488	1.79955279119291	0.25481962787198	0.147688131681579
diartk	112.79	0.194264446802736	0.699367568696565	0.304067561341123	0.17585219603746	0.0447822230026716	2.83793336425976	0.253562947439174	0.141213569142331
diartk	136.35	0.744276453159031	0.918890732425497	0.822417302479414	0.00764985613485582	0.00616051274902837	0.701895040610097	0.00998369034288183	0.023455880904633
diartk	95.22	0.341850326191464	0.726482900905722	0.464926879269571	0.143236201917972	0.0739524445517834	2.14671683524214	0.266618258351491	0.170289718053034
diartk	115.93	0.311313698698966	0.52818552178368	0.391736845904837	0.117648199278367	0.101069471035552	2.12370052566942	0.338447957927957	0.168474029258594
diartk	123.96	0.661645809648136	0.645553913470645	0.6535008142914	0.0185229680264069	0.101282831079014	0.85292187627351	0.0878802295582259	0.0845181079059329
diartk	83.15	0.383834472125891	0.556084536231103	0.454176184381553	0.247706655112668	0.209340898709698	1.8718192349905	0.613575488560157	0.296724397016938
diartk	99.01	0.254791106024356	0.807861974054798	0.387400271533791	0.146219080273689	0.0288440100177486	2.2730167093642	0.15051504847232	0.119837458271096
diartk	92.29	0.27136545433303	0.517782714499311	0.356101292799798	0.13612338727203	0.0964239474730694	2.25806401675383	0.431281790957998	0.192858580828166
diartk	53	0.784410496014288	0.296311358619461	0.430137946767308	0.0338918830454558	0.122248974726274	0.567463857014079	0.145219840529282	0.11104428908379
diartk	60.72	0.811216340099125	0.409367363722597	0.544142107608503	0.0677489185083537	0.113445076212151	0.439715302170452	0.0929334837456764	0.0991369486801419
diartk	106.27	0.564571219343396	0.339414608359101	0.423952928092414	0.114853155668782	0.134824352232665	1.16453404915566	0.339906364967697	0.187470140690098
diartk	100.86	0.997293047695726	0.54218021696542	0.702464373224163	0.180926735065676	0.980331039754331	0.00921247336968832	0.372699082036816	0.439387319033665
diartk	111.18	0.382839752115576	0.610023718346485	0.470439966952766	0.210973731059374	0.185120805842049	1.70486315821367	0.557663013818129	0.284567648739906
diartk	92.48	0.302119723979128	0.779952474215538	0.43553290920879	0.0907989257193778	0.0468725714159278	2.00511516582939	0.176811446634946	0.136620745171847
diartk	106.11	0.417750412541019	0.636304916964499	0.504369427529955	0.0918950473579046	0.0569369861032739	1.76289233487634	0.157811427490017	0.103552774835704
diartk	137.07	0.493568440015422	0.371952757262801	0.424216397562409	0.105174936995489	0.214170866544933	1.33414889140027	0.428491818571307	0.213791426211988
diartk	126.09	0.444233726943427	0.601111332505509	0.510901018057371	0.156019286491524	0.116139738022106	1.63332538071324	0.339905128655658	0.19687781817853
diartk	96.61	0.492803104937526	0.822899443522911	0.616442373382918	0.179570952756063	0.0697260536853362	1.19385382243747	0.15513328238301	0.166713753414862
diartk	100.21	0.784817420510652	0.529111399970575	0.632082708918127	0.181450225408203	0.496414957537557	0.534597147987152	0.600330054125538	0.398009333236771
diartk	159.71	0.5310803243846	0.344969960518312	0.418256261523416	0.119114029766641	0.197073175090396	1.21861951130743	0.315642456426278	0.17069825032009
diartk	478.81	0.911083971267271	0.220679191163328	0.355299201344103	0.045387972692981	0.113847853346551	0.223960965861604	0.109938463479268	0.113627618977202
diartk	148.1	0.434301241892164	0.450905176009586	0.442447487854304	0.0504621313541119	0.0478812185331042	1.41484871605707	0.11952622161268	0.0710733631824969
diartk	274.42	0.635401429483928	0.649460368859801	0.642353982815324	0.338531878638033	0.334541138971808	1.05999009339138	0.542294285612069	0.340534502295657
diartk	198.63	0.694125642943	0.630725794856827	0.660908740987271	0.0313109148375932	0.0538314788370998	0.725009420447646	0.0643857967740869	0.0643333261858088
diartk	86.26	0.434839925770683	0.51777568454023	0.472697566141824	0.227997643380027	0.26183122451755	1.72881344099504	0.807289115017846	0.343491373804329
diartk	171.49	0.496573634354225	0.484932463062597	0.490684013544291	0.0582711313966776	0.0772869975394263	1.33577624153411	0.174065567443046	0.105399992771526
diartk	98.78	0.382737628188037	0.472822461879793	0.423037375667098	0.135617750446028	0.191675215029178	1.69813130837096	0.478857511975499	0.235830161547604
diartk	101.88	0.307022756354299	0.73592960279136	0.433283712626747	0.0221751819899469	0.0280157115441343	1.92644628135047	0.0803566212343863	0.0619783749011602
diartk	100	0.590271064459073	0.940146367680992	0.72521546807316	0.741499530844706	0.244954340045793	0.934988955074548	0.388522347525396	0.448378728196079
diartk	100	1	0.397470203767782	0.568842473630056	3.68520538425711e-16	1	0	0	0
diartk	93.17	0.147740286659615	0.608272146296751	0.237737627963396	0.208411956969373	0.0265752563080268	3.03968627673129	0.170025276886881	0.0952573478994637
diartk	85.23	0.217901118378685	0.426969488187039	0.288545106699784	0.117660861331827	0.0752867252800189	2.56381770238639	0.355027083414867	0.155559440965628
diartk	86.78	0.584496436525626	0.792924712249182	0.672941125021922	0.657037637510679	0.408410227708106	0.904876552826697	0.953126546664017	0.580719867918813
diartk	104.65	0.304202444745208	0.86810555945689	0.4505297797799	0.0742687388255524	0.0267507422177958	1.93431212016594	0.0781575298164741	0.081376988000692
diartk	81.31	0.764462391893449	0.937092959396888	0.842020595596623	0.147557664611631	0.147533075829521	0.684222252620135	0.0968437858099475	0.211963820978179
diartk	94.81	0.461641632315356	0.706868241887778	0.558522980799788	0.155884586908576	0.0611770616808993	1.56537135769355	0.181367420000734	0.13569295182607
diartk	113.06	0.464933600080846	0.67219309312126	0.549675170942101	0.0288810088278767	0.0359129732442297	1.4301178927697	0.0926092982752883	0.072350185477339
diartk	93.14	0.336703317893392	0.693285491056222	0.453270022077296	0.281854473675653	0.0802362901141638	1.9200018178269	0.403734308548235	0.233434548073951
diartk	96.01	0.161012554367414	0.718679250002588	0.26308391470498	0.164668766047091	0.047730228013085	3.02722029505473	0.267546653477991	0.149571521491512
diartk	115.11	0.255000917257496	0.560968342392336	0.350619683697032	0.116472787712243	0.0773866139154219	2.4950213255631	0.326739794189952	0.155227431012252
diartk	104.91	0.348580204489306	0.74098726260054	0.474121152334238	0.0330643403555862	0.0307510363131425	1.79228281975748	0.0817340409415716	0.0651176652476129
diartk	93.78	0.388999137146498	0.794613858805104	0.522306034991312	0.0244572350492623	0.0263394320203411	1.65342241290601	0.0511819141151207	0.0473518685400128
diartk	114.99	0.759096533325697	0.689160969847199	0.722440176513182	0.0115505038221475	0.0119104075339456	0.708116677895542	0.0219132873315255	0.0277346774852144
diartk	85.7	0.374452659990305	0.495040962736686	0.426384738095122	0.161844556557792	0.172950685580728	1.89550768794545	0.540256304195782	0.247883421495317
diartk	105.18	0.282567070529733	0.451155393778348	0.347492857790185	0.0676396009723251	0.0292228078793267	2.16191670250788	0.156121656411778	0.0783159281951844
diartk	143.47	0.671160698268782	0.803934696319662	0.731572173737208	0.0177521121337567	0.0111191571653433	0.951559025624707	0.029836288898963	0.0390241517289019
diartk	103.33	0.355882470186767	0.920155302094475	0.513256188771593	0.0233254184848578	0.00955437098349261	1.69435397878376	0.0249534642468717	0.0377208977442872
diartk	200.37	0.420168279802053	0.455301298787481	0.437029836745177	0.199139186417376	0.169982847050549	1.78112848953249	0.412807908360919	0.200268648512363
diartk	95.67	0.390723894112723	0.677001987156937	0.495484575927787	0.398981188259498	0.171871872429825	1.63202736923345	0.515907328812067	0.300650147494391
diartk	100.1	0.373559399920459	0.704131081907957	0.488145323463586	0.12901869536209	0.0445163202526799	1.71176228684827	0.15899344478194	0.11988713603234
diartk	305.05	0.847757931684104	0.676231859594373	0.752342208470694	0.0169165455476444	0.06730943531043	0.455524804212396	0.0540524561104811	0.0770615770463661
diartk	81.89	0.372518218446548	0.494992518689863	0.425109968818109	0.127252875003346	0.118182295989631	1.8353651453258	0.279075061830524	0.157611483611798
diartk	102.53	0.333273292105516	0.880918318408664	0.483591791459972	0.0894449370046416	0.0156216361149763	2.10652530377833	0.069500378873796	0.0722910230868148
diartk	175.11	0.51727996573604	0.416490253391753	0.461445566780056	0.0496706850023717	0.0883417020656211	1.14883249659421	0.124496936630313	0.0875534769923428
diartk	92.14	0.541512944276494	0.696714777156172	0.609387213302341	0.0361003778012758	0.057704317993272	1.39320920145803	0.105345108411812	0.0853704399687744
diartk	100	0.569921618992906	0.628973754080862	0.597993366695151	0.105900322109543	0.163815268941483	1.0364315609206	0.197916239844951	0.152999667352584
diartk	95.61	0.755071966188026	0.556637917389663	0.640845497926489	0.0365365055902736	0.024644832722405	0.740710274534873	0.0883443081502584	0.0778253570196103
diartk	127.22	0.565379916096593	0.510336347555445	0.536449863428431	0.0413564564490716	0.141725089218653	1.08539362139506	0.166574219516113	0.121149659237116
diartk	81.85	0.493500612750585	0.50234845698798	0.497885229541785	0.101101945042696	0.131008491899077	1.36475412071514	0.291653016474032	0.173420149094377
diartk	91.33	0.646684392780696	0.425001514972563	0.512914921531629	0.219710118951578	0.455475027803137	0.901876645398163	0.7794924919254	0.384975029512801
diartk	105.77	0.628479167333823	0.366727024087022	0.463180990479909	0.120666107541645	0.344570189828407	0.894858600441513	0.473480724424975	0.26410380303634
diartk	170.67	0.487406105396455	0.4524275264952	0.4692659023477	0.0706170376881254	0.110481834219826	1.38257667828278	0.186260060533192	0.11321440874949
diartk	71.2	0.522416618955202	0.372159637260314	0.43466921474448	0.0616327501692412	0.141885531685495	1.20936468250405	0.278730557033005	0.164913891621692
diartk	93.82	1	0.130242567645616	0.230468346130196	3.82942295170682e-16	0.75	0	2.85805769425643e-16	1.91801005108008e-08
diartk	82.13	0.416220505772057	0.656943857298312	0.509583646192359	0.0867567714249012	0.136415886528012	1.68628700253191	0.267520413180756	0.175903937679364
diartk	70.66	0.362437778371518	0.636553012183389	0.461887860694477	0.229197604880118	0.208970882831516	2.10113937074508	0.589554208631519	0.298872273547199
diartk	95.78	1	0.707437252608602	0.828653880577794	7.58964040722431e-16	1	0	-1.4861478859862e-15	-9.97336963645354e-08
diartk	77.98	0.711220193794187	0.486319995058923	0.577651763759255	0.10735840617506	0.085008148488798	0.842317969398856	0.185473437047149	0.147834152642749
diartk	83.79	0.602684435960971	0.559899852897198	0.580504880845065	0.1665086373159	0.150299584295014	0.865544962899504	0.261763313319091	0.215619639761774
diartk	73.78	0.354579933801278	0.402100705303602	0.376848128786962	0.235370159987428	0.256169823683746	1.96881387697633	1.15549174871697	0.392089614904982
diartk	87.87	0.351988198047488	0.607082912090697	0.445610378695356	0.295408312394408	0.170274775974958	1.89430820023002	0.702460430323119	0.330995319100771
diartk	324.37	0.691384919762733	0.298758626660103	0.417226794777512	0.141004553721921	0.324919759928648	0.745306442833866	0.416880817118779	0.238357264969181
diartk	75.3	0.203819481169289	0.543656435188328	0.296485198063334	0.0515024044880151	0.00394988458227801	2.65510283257	0.0385324748281278	0.0238063194990067
diartk	115.28	0.259253288310532	0.538925298896538	0.350092468357378	0.10088389850935	0.0650549798065751	2.44738669845146	0.280574602369807	0.140922008746138
diartk	202.16	0.746867033010665	0.383413771051293	0.506704359786353	0.101033498820529	0.311453535685046	0.691128422021324	0.365571703452492	0.249991190478975
diartk	89.29	0.807738771725463	0.591664439139687	0.683020166930828	0.0692756830826554	0.184711359004893	0.559158676892542	0.147335135774821	0.147060559761348
diartk	119.96	0.436430792376109	0.460694907417597	0.44823472013818	0.0501096568833878	0.08585682409432	1.51077509536156	0.213550945679815	0.12142106016901
